lead_id,email,phone,signup_ts,source_platform,campaign_id,ad_id,opted_into,intent_category,geo_state,device,days_since_signup,total_opens,has_opened,days_since_last_open
L00050,user50@example.com,+15550000050,2025-10-24,google_search,camp_google_search_8,ad_3213,debt_relief_guide,finance,FL,desktop,248,0,0,248
L00051,user51@example.com,+15550000051,2025-09-19,google_search,camp_google_search_1,ad_2406,personal_loan_calc,finance,TX,tablet,283,2,1,70
L00052,user52@example.com,+15550000052,2025-09-10,meta,camp_meta_7,ad_9712,weekly_cash_draw,sweepstakes,AZ,mobile,292,1,1,153
L00053,user53@example.com,+15550000053,2025-10-18,tiktok,camp_tiktok_4,ad_2815,weekly_cash_draw,sweepstakes,CA,mobile,254,0,0,254
L00054,user54@example.com,+15550000054,2025-12-11,tiktok,camp_tiktok_7,ad_7610,win_iphone_giveaway,sweepstakes,TX,mobile,200,1,1,125
L00055,user55@example.com,+15550000055,2025-12-21,tiktok,camp_tiktok_1,ad_6546,mortgage_refi_quiz,finance,TX,mobile,190,1,1,164
L00056,user56@example.com,+15550000056,2026-01-30,tiktok,camp_tiktok_2,ad_7931,health_ins_compare,insurance,CA,desktop,150,0,0,150
L00057,user57@example.com,+15550000057,2026-01-13,tiktok,camp_tiktok_8,ad_5870,roofing_estimate,home_services,NY,desktop,167,2,1,70
L00058,user58@example.com,+15550000058,2025-10-17,tiktok,camp_tiktok_4,ad_9222,keto_meal_plan,health,OH,mobile,255,2,1,145
L00059,user59@example.com,+15550000059,2026-05-12,meta,camp_meta_5,ad_4606,personal_loan_calc,finance,NC,tablet,48,1,1,48
L00060,user60@example.com,+15550000060,2026-01-31,meta,camp_meta_4,ad_5295,weight_loss_guide,health,OH,mobile,149,2,1,72
L00061,user61@example.com,+15550000061,2025-12-03,tiktok,camp_tiktok_7,ad_4083,auto_insurance_quiz,insurance,GA,mobile,208,3,1,81
L00062,user62@example.com,+15550000062,2025-11-13,meta,camp_meta_7,ad_3213,keto_meal_plan,health,NY,desktop,228,5,1,89
L00063,user63@example.com,+15550000063,2025-12-31,google_search,camp_google_search_7,ad_8577,roofing_estimate,home_services,IL,mobile,180,0,0,180
L00064,user64@example.com,+15550000064,2026-01-03,meta,camp_meta_4,ad_8443,mortgage_refi_quiz,finance,PA,tablet,177,2,1,64
L00065,user65@example.com,+15550000065,2026-04-03,google_search,camp_google_search_5,ad_5574,keto_meal_plan,health,NY,desktop,87,0,0,87
L00066,user66@example.com,+15550000066,2025-07-01,tiktok,camp_tiktok_6,ad_4002,solar_savings_quote,home_services,TX,tablet,363,3,1,201
L00067,user67@example.com,+15550000067,2025-12-20,google_search,camp_google_search_7,ad_8213,health_ins_compare,insurance,AZ,desktop,191,3,1,71
L00068,user68@example.com,+15550000068,2026-01-17,meta,camp_meta_7,ad_7797,debt_relief_guide,finance,TX,desktop,163,0,0,163
L00069,user69@example.com,+15550000069,2026-03-10,google_search,camp_google_search_6,ad_3095,keto_meal_plan,health,CA,mobile,111,1,1,48
L00070,user70@example.com,+15550000070,2025-10-09,tiktok,camp_tiktok_4,ad_3419,debt_relief_guide,finance,FL,tablet,263,0,0,263
L00071,user71@example.com,+15550000071,2025-11-09,tiktok,camp_tiktok_3,ad_7692,hvac_tuneup_offer,home_services,GA,tablet,232,2,1,144
L00072,user72@example.com,+15550000072,2025-08-25,meta,camp_meta_4,ad_8630,health_ins_compare,insurance,GA,desktop,308,6,1,146
L00073,user73@example.com,+15550000073,2026-02-04,taboola,camp_taboola_3,ad_3847,mortgage_refi_quiz,finance,CA,mobile,145,1,1,37
L00074,user74@example.com,+15550000074,2025-07-26,meta,camp_meta_3,ad_2532,debt_relief_guide,finance,PA,desktop,338,2,1,133
L00075,user75@example.com,+15550000075,2025-07-06,tiktok,camp_tiktok_6,ad_8282,weekly_cash_draw,sweepstakes,OH,desktop,358,7,1,149
L00076,user76@example.com,+15550000076,2025-11-03,taboola,camp_taboola_1,ad_3679,supplement_trial,health,TX,desktop,238,4,1,59
L00077,user77@example.com,+15550000077,2026-01-02,taboola,camp_taboola_5,ad_5863,weekly_cash_draw,sweepstakes,IL,mobile,178,4,1,70
L00078,user78@example.com,+15550000078,2025-09-02,google_search,camp_google_search_1,ad_9383,roofing_estimate,home_services,NC,tablet,300,1,1,119
L00079,user79@example.com,+15550000079,2025-09-20,taboola,camp_taboola_2,ad_1916,win_iphone_giveaway,sweepstakes,NC,mobile,282,2,1,178
L00080,user80@example.com,+15550000080,2026-06-28,meta,camp_meta_4,ad_7297,roofing_estimate,home_services,IL,desktop,1,1,1,1
L00081,user81@example.com,+15550000081,2026-04-04,taboola,camp_taboola_5,ad_5040,500_giftcard_sweeps,sweepstakes,NY,mobile,86,2,1,86
L00082,user82@example.com,+15550000082,2025-08-10,google_search,camp_google_search_6,ad_4077,life_insurance_quote,insurance,OH,tablet,323,0,0,323
L00083,user83@example.com,+15550000083,2025-11-09,taboola,camp_taboola_1,ad_6173,supplement_trial,health,CA,tablet,232,1,1,93
L00084,user84@example.com,+15550000084,2026-06-07,tiktok,camp_tiktok_1,ad_4288,hvac_tuneup_offer,home_services,TX,mobile,22,2,1,22
L00085,user85@example.com,+15550000085,2026-03-11,google_search,camp_google_search_8,ad_9631,auto_insurance_quiz,insurance,AZ,tablet,110,2,1,81
L00086,user86@example.com,+15550000086,2026-02-23,meta,camp_meta_8,ad_9180,keto_meal_plan,health,NY,desktop,126,1,1,126
L00087,user87@example.com,+15550000087,2025-11-15,tiktok,camp_tiktok_3,ad_3902,hvac_tuneup_offer,home_services,CA,mobile,226,1,1,134
L00088,user88@example.com,+15550000088,2026-06-07,meta,camp_meta_8,ad_9951,health_ins_compare,insurance,GA,tablet,22,3,1,22
L00089,user89@example.com,+15550000089,2026-03-24,taboola,camp_taboola_3,ad_1916,health_ins_compare,insurance,OH,desktop,97,1,1,97
L00090,user90@example.com,+15550000090,2025-07-23,meta,camp_meta_4,ad_9441,health_ins_compare,insurance,AZ,tablet,341,0,0,341
L00091,user91@example.com,+15550000091,2026-06-15,meta,camp_meta_8,ad_5095,mortgage_refi_quiz,finance,FL,desktop,14,0,0,14
L00092,user92@example.com,+15550000092,2025-08-23,google_search,camp_google_search_8,ad_7283,500_giftcard_sweeps,sweepstakes,OH,mobile,310,1,1,90
L00093,user93@example.com,+15550000093,2026-04-06,meta,camp_meta_4,ad_3609,solar_savings_quote,home_services,CA,desktop,84,0,0,84
L00094,user94@example.com,+15550000094,2026-06-29,meta,camp_meta_7,ad_5204,solar_savings_quote,home_services,IL,desktop,0,2,1,0
L00095,user95@example.com,+15550000095,2026-03-04,meta,camp_meta_3,ad_3221,auto_insurance_quiz,insurance,AZ,desktop,117,2,1,117
L00096,user96@example.com,+15550000096,2026-01-12,tiktok,camp_tiktok_2,ad_1185,debt_relief_guide,finance,AZ,mobile,168,1,1,80
L00097,user97@example.com,+15550000097,2026-04-22,google_search,camp_google_search_6,ad_6580,personal_loan_calc,finance,OH,mobile,68,0,0,68
L00098,user98@example.com,+15550000098,2025-10-22,tiktok,camp_tiktok_7,ad_3525,debt_relief_guide,finance,IL,desktop,250,0,0,250
L00099,user99@example.com,+15550000099,2026-05-01,tiktok,camp_tiktok_5,ad_9183,win_iphone_giveaway,sweepstakes,AZ,mobile,59,3,1,59
L00100,user100@example.com,+15550000100,2025-09-06,meta,camp_meta_4,ad_6720,health_ins_compare,insurance,NY,tablet,296,2,1,135
L00101,user101@example.com,+15550000101,2026-06-19,meta,camp_meta_6,ad_2489,personal_loan_calc,finance,NC,tablet,10,0,0,10
L00102,user102@example.com,+15550000102,2025-09-01,tiktok,camp_tiktok_7,ad_2293,hvac_tuneup_offer,home_services,NC,tablet,301,2,1,113
L00103,user103@example.com,+15550000103,2026-05-16,meta,camp_meta_8,ad_9316,mortgage_refi_quiz,finance,TX,desktop,44,0,0,44
L00104,user104@example.com,+15550000104,2025-11-28,google_search,camp_google_search_1,ad_5024,roofing_estimate,home_services,GA,mobile,213,4,1,139
L00105,user105@example.com,+15550000105,2025-10-30,tiktok,camp_tiktok_1,ad_6360,life_insurance_quote,insurance,CA,mobile,242,0,0,242
L00106,user106@example.com,+15550000106,2025-11-15,meta,camp_meta_7,ad_6101,hvac_tuneup_offer,home_services,FL,tablet,226,3,1,129
L00107,user107@example.com,+15550000107,2025-07-27,meta,camp_meta_5,ad_1316,weekly_cash_draw,sweepstakes,PA,desktop,337,0,0,337
L00108,user108@example.com,+15550000108,2026-02-01,google_search,camp_google_search_8,ad_3388,keto_meal_plan,health,CA,tablet,148,3,1,80
L00109,user109@example.com,+15550000109,2025-08-20,taboola,camp_taboola_6,ad_6799,personal_loan_calc,finance,IL,desktop,313,1,1,183
L00110,user110@example.com,+15550000110,2025-12-23,tiktok,camp_tiktok_8,ad_7294,life_insurance_quote,insurance,IL,tablet,188,3,1,140
L00111,user111@example.com,+15550000111,2026-05-24,meta,camp_meta_8,ad_9891,win_iphone_giveaway,sweepstakes,NY,tablet,36,1,1,34
L00112,user112@example.com,+15550000112,2025-08-10,meta,camp_meta_4,ad_1091,weekly_cash_draw,sweepstakes,NC,desktop,323,2,1,126
L00113,user113@example.com,+15550000113,2026-01-10,google_search,camp_google_search_2,ad_3769,roofing_estimate,home_services,NC,mobile,170,2,1,81
L00114,user114@example.com,+15550000114,2025-07-16,meta,camp_meta_4,ad_7780,auto_insurance_quiz,insurance,GA,tablet,348,0,0,348
L00115,user115@example.com,+15550000115,2025-07-08,meta,camp_meta_2,ad_1406,auto_insurance_quiz,insurance,TX,desktop,356,2,1,111
L00116,user116@example.com,+15550000116,2025-10-27,tiktok,camp_tiktok_4,ad_3106,personal_loan_calc,finance,FL,mobile,245,0,0,245
L00117,user117@example.com,+15550000117,2025-09-23,taboola,camp_taboola_2,ad_9470,auto_insurance_quiz,insurance,NY,mobile,279,4,1,118
L00118,user118@example.com,+15550000118,2026-05-25,tiktok,camp_tiktok_3,ad_5088,keto_meal_plan,health,CA,mobile,35,2,1,17
L00119,user119@example.com,+15550000119,2025-11-28,tiktok,camp_tiktok_4,ad_1998,roofing_estimate,home_services,PA,mobile,213,1,1,153
L00120,user120@example.com,+15550000120,2026-04-15,taboola,camp_taboola_2,ad_9064,500_giftcard_sweeps,sweepstakes,PA,mobile,75,0,0,75
L00121,user121@example.com,+15550000121,2025-11-16,tiktok,camp_tiktok_8,ad_7391,auto_insurance_quiz,insurance,CA,tablet,225,2,1,77
L00122,user122@example.com,+15550000122,2025-12-16,meta,camp_meta_3,ad_2451,supplement_trial,health,TX,tablet,195,1,1,111
L00123,user123@example.com,+15550000123,2026-03-02,tiktok,camp_tiktok_3,ad_2185,personal_loan_calc,finance,NY,mobile,119,3,1,91
L00124,user124@example.com,+15550000124,2025-08-29,meta,camp_meta_8,ad_2869,personal_loan_calc,finance,CA,mobile,304,1,1,190
L00125,user125@example.com,+15550000125,2026-05-03,google_search,camp_google_search_8,ad_4603,solar_savings_quote,home_services,GA,desktop,57,2,1,57
L00126,user126@example.com,+15550000126,2026-05-08,taboola,camp_taboola_7,ad_9285,500_giftcard_sweeps,sweepstakes,NC,desktop,52,2,1,52
L00127,user127@example.com,+15550000127,2026-06-09,meta,camp_meta_2,ad_9313,weight_loss_guide,health,GA,desktop,20,3,1,20
L00128,user128@example.com,+15550000128,2025-12-10,google_search,camp_google_search_4,ad_5123,life_insurance_quote,insurance,PA,mobile,201,1,1,169
L00129,user129@example.com,+15550000129,2025-12-30,tiktok,camp_tiktok_3,ad_6938,weight_loss_guide,health,NC,desktop,181,3,1,92
L00130,user130@example.com,+15550000130,2025-12-20,taboola,camp_taboola_8,ad_8613,debt_relief_guide,finance,GA,mobile,191,1,1,88
L00131,user131@example.com,+15550000131,2025-09-30,taboola,camp_taboola_3,ad_9526,roofing_estimate,home_services,PA,desktop,272,3,1,157
L00132,user132@example.com,+15550000132,2025-08-07,meta,camp_meta_4,ad_4080,weekly_cash_draw,sweepstakes,NC,desktop,326,4,1,148
L00133,user133@example.com,+15550000133,2025-09-01,google_search,camp_google_search_8,ad_3938,keto_meal_plan,health,IL,mobile,301,3,1,86
L00134,user134@example.com,+15550000134,2025-09-28,taboola,camp_taboola_7,ad_3476,personal_loan_calc,finance,PA,mobile,274,1,1,97
L00135,user135@example.com,+15550000135,2025-07-31,tiktok,camp_tiktok_5,ad_7311,auto_insurance_quiz,insurance,PA,tablet,333,1,1,192
L00136,user136@example.com,+15550000136,2026-03-09,meta,camp_meta_4,ad_7168,keto_meal_plan,health,GA,mobile,112,2,1,103
L00137,user137@example.com,+15550000137,2025-07-13,taboola,camp_taboola_7,ad_5900,keto_meal_plan,health,PA,desktop,351,3,1,160
L00138,user138@example.com,+15550000138,2025-09-07,meta,camp_meta_6,ad_3161,keto_meal_plan,health,NC,desktop,295,8,1,102
L00139,user139@example.com,+15550000139,2026-01-12,meta,camp_meta_6,ad_8343,500_giftcard_sweeps,sweepstakes,FL,tablet,168,1,1,112
L00140,user140@example.com,+15550000140,2026-06-15,google_search,camp_google_search_6,ad_7968,weight_loss_guide,health,NC,mobile,14,2,1,14
L00141,user141@example.com,+15550000141,2026-03-17,taboola,camp_taboola_4,ad_6576,debt_relief_guide,finance,IL,tablet,104,1,1,49
L00142,user142@example.com,+15550000142,2025-07-22,google_search,camp_google_search_4,ad_2006,health_ins_compare,insurance,PA,tablet,342,3,1,101
L00143,user143@example.com,+15550000143,2025-12-27,meta,camp_meta_1,ad_1856,weight_loss_guide,health,NC,tablet,184,5,1,112
L00144,user144@example.com,+15550000144,2026-03-13,meta,camp_meta_3,ad_7049,personal_loan_calc,finance,PA,desktop,108,1,1,82
L00145,user145@example.com,+15550000145,2025-08-03,tiktok,camp_tiktok_2,ad_7738,health_ins_compare,insurance,PA,tablet,330,1,1,180
L00146,user146@example.com,+15550000146,2026-03-24,taboola,camp_taboola_3,ad_2381,debt_relief_guide,finance,NY,desktop,97,1,1,41
L00147,user147@example.com,+15550000147,2026-04-08,google_search,camp_google_search_3,ad_6869,auto_insurance_quiz,insurance,PA,tablet,82,2,1,20
L00148,user148@example.com,+15550000148,2026-06-06,google_search,camp_google_search_4,ad_4549,auto_insurance_quiz,insurance,GA,tablet,23,3,1,23
L00149,user149@example.com,+15550000149,2026-04-17,tiktok,camp_tiktok_4,ad_2972,weight_loss_guide,health,NC,mobile,73,2,1,73
L00150,user150@example.com,+15550000150,2025-09-25,google_search,camp_google_search_1,ad_8407,weekly_cash_draw,sweepstakes,TX,desktop,277,1,1,79
L00151,user151@example.com,+15550000151,2025-07-04,google_search,camp_google_search_4,ad_2730,weekly_cash_draw,sweepstakes,NC,mobile,360,4,1,168
L00152,user152@example.com,+15550000152,2026-03-30,meta,camp_meta_5,ad_1445,keto_meal_plan,health,AZ,desktop,91,4,1,91
L00153,user153@example.com,+15550000153,2026-03-16,meta,camp_meta_2,ad_5696,life_insurance_quote,insurance,CA,mobile,105,4,1,76
L00154,user154@example.com,+15550000154,2025-08-25,tiktok,camp_tiktok_1,ad_1084,keto_meal_plan,health,FL,desktop,308,0,0,308
L00155,user155@example.com,+15550000155,2025-11-06,google_search,camp_google_search_2,ad_5266,hvac_tuneup_offer,home_services,GA,desktop,235,4,1,98
L00156,user156@example.com,+15550000156,2025-10-24,meta,camp_meta_4,ad_2862,mortgage_refi_quiz,finance,CA,desktop,248,0,0,248
L00157,user157@example.com,+15550000157,2025-11-04,google_search,camp_google_search_2,ad_1497,weight_loss_guide,health,GA,desktop,237,1,1,162
L00158,user158@example.com,+15550000158,2026-01-28,tiktok,camp_tiktok_7,ad_1966,auto_insurance_quiz,insurance,TX,mobile,152,2,1,62
L00159,user159@example.com,+15550000159,2026-04-18,google_search,camp_google_search_2,ad_4610,keto_meal_plan,health,TX,mobile,72,4,1,72
L00160,user160@example.com,+15550000160,2025-07-30,tiktok,camp_tiktok_5,ad_5442,supplement_trial,health,FL,tablet,334,2,1,179
L00161,user161@example.com,+15550000161,2025-09-12,meta,camp_meta_5,ad_6890,roofing_estimate,home_services,NY,mobile,290,0,0,290
L00162,user162@example.com,+15550000162,2026-05-23,taboola,camp_taboola_4,ad_8205,personal_loan_calc,finance,NC,desktop,37,2,1,37
L00163,user163@example.com,+15550000163,2025-07-24,meta,camp_meta_4,ad_3620,hvac_tuneup_offer,home_services,NC,desktop,340,2,1,131
L00164,user164@example.com,+15550000164,2026-03-04,meta,camp_meta_2,ad_5505,keto_meal_plan,health,PA,tablet,117,1,1,65
L00165,user165@example.com,+15550000165,2026-04-12,tiktok,camp_tiktok_6,ad_9930,health_ins_compare,insurance,TX,desktop,78,4,1,31
L00166,user166@example.com,+15550000166,2026-02-06,taboola,camp_taboola_1,ad_9420,hvac_tuneup_offer,home_services,NC,tablet,143,1,1,108
L00167,user167@example.com,+15550000167,2026-06-20,tiktok,camp_tiktok_7,ad_9425,weight_loss_guide,health,NY,tablet,9,3,1,9
L00168,user168@example.com,+15550000168,2026-02-13,tiktok,camp_tiktok_7,ad_2347,hvac_tuneup_offer,home_services,OH,mobile,136,1,1,86
L00169,user169@example.com,+15550000169,2025-07-12,taboola,camp_taboola_8,ad_6215,weight_loss_guide,health,NY,mobile,352,2,1,203
L00170,user170@example.com,+15550000170,2025-09-06,meta,camp_meta_4,ad_2158,debt_relief_guide,finance,CA,tablet,296,4,1,89
L00171,user171@example.com,+15550000171,2025-08-28,meta,camp_meta_5,ad_5557,500_giftcard_sweeps,sweepstakes,OH,desktop,305,2,1,188
L00172,user172@example.com,+15550000172,2026-05-01,tiktok,camp_tiktok_4,ad_9648,win_iphone_giveaway,sweepstakes,GA,tablet,59,2,1,59
L00173,user173@example.com,+15550000173,2026-05-10,google_search,camp_google_search_8,ad_2788,life_insurance_quote,insurance,OH,mobile,50,1,1,50
L00174,user174@example.com,+15550000174,2025-07-09,google_search,camp_google_search_1,ad_2840,roofing_estimate,home_services,GA,desktop,355,4,1,131
L00175,user175@example.com,+15550000175,2025-07-15,google_search,camp_google_search_8,ad_7855,roofing_estimate,home_services,IL,tablet,349,3,1,124
L00176,user176@example.com,+15550000176,2026-06-08,tiktok,camp_tiktok_8,ad_8840,mortgage_refi_quiz,finance,GA,tablet,21,1,1,13
L00177,user177@example.com,+15550000177,2026-01-18,google_search,camp_google_search_3,ad_2781,health_ins_compare,insurance,AZ,mobile,162,2,1,101
L00178,user178@example.com,+15550000178,2025-08-17,tiktok,camp_tiktok_7,ad_3701,personal_loan_calc,finance,GA,desktop,316,4,1,189
L00179,user179@example.com,+15550000179,2025-08-05,taboola,camp_taboola_3,ad_2753,supplement_trial,health,NY,mobile,328,3,1,115
L00180,user180@example.com,+15550000180,2026-06-01,tiktok,camp_tiktok_2,ad_8742,personal_loan_calc,finance,FL,mobile,28,3,1,28
L00181,user181@example.com,+15550000181,2026-04-11,meta,camp_meta_2,ad_9395,hvac_tuneup_offer,home_services,TX,mobile,79,3,1,61
L00182,user182@example.com,+15550000182,2025-12-04,taboola,camp_taboola_7,ad_8766,mortgage_refi_quiz,finance,NC,desktop,207,2,1,111
L00183,user183@example.com,+15550000183,2025-07-18,meta,camp_meta_4,ad_3033,roofing_estimate,home_services,OH,desktop,346,0,0,346
L00184,user184@example.com,+15550000184,2026-03-03,meta,camp_meta_5,ad_3886,weekly_cash_draw,sweepstakes,CA,desktop,118,1,1,118
L00185,user185@example.com,+15550000185,2025-09-08,meta,camp_meta_6,ad_9429,personal_loan_calc,finance,PA,mobile,294,1,1,100
L00186,user186@example.com,+15550000186,2025-12-18,meta,camp_meta_5,ad_5301,solar_savings_quote,home_services,AZ,desktop,193,3,1,110
L00187,user187@example.com,+15550000187,2026-04-03,tiktok,camp_tiktok_5,ad_9831,solar_savings_quote,home_services,TX,desktop,87,1,1,48
L00188,user188@example.com,+15550000188,2025-10-11,meta,camp_meta_2,ad_8705,supplement_trial,health,PA,desktop,261,4,1,72
L00189,user189@example.com,+15550000189,2025-09-19,tiktok,camp_tiktok_3,ad_5551,life_insurance_quote,insurance,TX,tablet,283,3,1,150
L00190,user190@example.com,+15550000190,2025-11-23,meta,camp_meta_6,ad_4481,keto_meal_plan,health,CA,desktop,218,0,0,218
L00191,user191@example.com,+15550000191,2025-09-30,taboola,camp_taboola_8,ad_8221,500_giftcard_sweeps,sweepstakes,CA,mobile,272,1,1,79
L00192,user192@example.com,+15550000192,2026-03-15,meta,camp_meta_3,ad_8087,debt_relief_guide,finance,OH,tablet,106,3,1,106
